arrayType;sortMethod;arraySize;duration;comparisons
unsorted;std_quicksort;100;28;802
unsorted;std_mergesort;100;19;1231
unsorted;string_quicksort;100;322;1231
unsorted;string_mergesort;100;110;1635
unsorted;msd_radix_sort;100;352;1635
unsorted;msd_radix_sort_switch;100;52;1635
unsorted;std_quicksort;200;61;2063
unsorted;std_mergesort;200;36;3129
unsorted;string_quicksort;200;1281;3129
unsorted;string_mergesort;200;246;4141
unsorted;msd_radix_sort;200;755;4141
unsorted;msd_radix_sort_switch;200;111;4141
unsorted;std_quicksort;300;104;3749
unsorted;std_mergesort;300;62;5602
unsorted;string_quicksort;300;2868;5602
unsorted;string_mergesort;300;385;7310
unsorted;msd_radix_sort;300;971;7310
unsorted;msd_radix_sort_switch;300;188;7310
unsorted;std_quicksort;400;141;5096
unsorted;std_mergesort;400;86;7652
unsorted;string_quicksort;400;5099;7652
unsorted;string_mergesort;400;529;10094
unsorted;msd_radix_sort;400;1150;10094
unsorted;msd_radix_sort_switch;400;270;10094
unsorted;std_quicksort;500;194;7119
unsorted;std_mergesort;500;110;10697
unsorted;string_quicksort;500;9420;10697
unsorted;string_mergesort;500;1021;13787
unsorted;msd_radix_sort;500;1960;13787
unsorted;msd_radix_sort_switch;500;601;13787
unsorted;std_quicksort;600;371;8848
unsorted;std_mergesort;600;176;13198
unsorted;string_quicksort;600;14457;13198
unsorted;string_mergesort;600;1122;17249
unsorted;msd_radix_sort;600;1584;17249
unsorted;msd_radix_sort_switch;600;568;17249
unsorted;std_quicksort;700;275;10369
unsorted;std_mergesort;700;157;15604
unsorted;string_quicksort;700;15669;15604
unsorted;string_mergesort;700;999;20557
unsorted;msd_radix_sort;700;1701;20557
unsorted;msd_radix_sort_switch;700;731;20557
unsorted;std_quicksort;800;322;12321
unsorted;std_mergesort;800;182;18360
unsorted;string_quicksort;800;20267;18360
unsorted;string_mergesort;800;1192;24111
unsorted;msd_radix_sort;800;1846;24111
unsorted;msd_radix_sort_switch;800;982;24111
unsorted;std_quicksort;900;367;14641
unsorted;std_mergesort;900;227;22204
unsorted;string_quicksort;900;29409;22204
unsorted;string_mergesort;900;1567;28715
unsorted;msd_radix_sort;900;2134;28715
unsorted;msd_radix_sort_switch;900;1108;28715
unsorted;std_quicksort;1000;442;16492
unsorted;std_mergesort;1000;256;24797
unsorted;string_quicksort;1000;32485;24797
unsorted;string_mergesort;1000;1480;32064
unsorted;msd_radix_sort;1000;2319;32064
unsorted;msd_radix_sort_switch;1000;1188;32064
unsorted;std_quicksort;1100;467;17935
unsorted;std_mergesort;1100;275;27096
unsorted;string_quicksort;1100;39699;27096
unsorted;string_mergesort;1100;1671;35395
unsorted;msd_radix_sort;1100;2480;35395
unsorted;msd_radix_sort_switch;1100;1341;35395
unsorted;std_quicksort;1200;524;20786
unsorted;std_mergesort;1200;304;30867
unsorted;string_quicksort;1200;45029;30867
unsorted;string_mergesort;1200;1878;40298
unsorted;msd_radix_sort;1200;2731;40298
unsorted;msd_radix_sort_switch;1200;1446;40298
